iconId,font,name,category
1,😀,활짝 웃는 얼굴,A
2,😃,눈을 크게 뜨고 웃는 얼굴,A
3,😄,미소 짓는 눈으로 활짝 웃는 얼굴,A
4,😁,미소 짓는 눈으로 웃는 얼굴,A
5,😆,눈웃음짓는 얼굴,A
6,😅,땀 흘리며 웃는 얼굴,A
7,🤣,바닥을 구르며 웃는 얼굴,A
8,😂,기쁨의 눈물을 흘리는 얼굴,A
9,🙂,살짝 미소 짓는 얼굴,A
10,🙃,거꾸로 된 얼굴,A
11,🫠,녹아 내리는 얼굴,A
12,😉,윙크하는 얼굴,A
13,😊,미소 짓는 눈으로 살짝 웃는 얼굴,A
14,😇,후광이 비치는 웃는 얼굴,A
15,🥰,하트와 함께 웃는 얼굴,A
16,😍,하트 눈 얼굴,A
17,🤩,반한 얼굴,A
18,😘,키스를 보내는 얼굴,A
19,😗,키스하는 얼굴,A
20,☺,웃는 얼굴,A
21,😚,눈을 감은 채로 키스하는 얼굴,A
22,😙,미소 짓는 눈으로 키스하는 얼굴,A
23,🥲,눈물 흘리며 웃는 얼굴,A
24,😋,맛있는 음식을 음미하는 얼굴,A
25,😛,혀를 내민 얼굴,A
26,😜,윙크하면서 혀를 내민 얼굴,A
27,🤪,괴짜 얼굴,A
28,😝,눈을 감고 메롱하는 얼굴,A
29,🤑,돈 모양의 입이 있는 얼굴,A
30,🤗,포옹하고 있는 얼굴,A
31,🤭,손으로 입을 가린 얼굴,A
32,🫢,눈을 뜨고 손으로 입을 가린 얼굴,A
33,🫣,한쪽 눈을 가리고 훔쳐보는 얼굴,A
34,🤫,쉿 하는 얼굴,A
35,🤔,생각하는 얼굴,A
36,🫡,경례하는 얼굴,A
37,🤐,지퍼로 입을 잠근 얼굴,A
38,🤨,눈썹을 치켜올린 얼굴,A
39,😐,덤덤한 얼굴,A
40,😑,무표정한 얼굴,A
41,😶,입이 없는 얼굴,A
42,🫥,테두리가 점선으로 된 얼굴,A
43,😶‍🌫️,공상에 잠긴 얼굴,A
44,😏,히죽거리는 얼굴,A
45,😒,지루해하는 얼굴,A
46,🙄,눈을 굴리고 있는 얼굴,A
47,😬,찌푸린 얼굴,A
48,😮‍💨,날숨 쉬는 얼굴,A
49,🤥,거짓말하는 얼굴,A
50,😌,안심한 얼굴,A
51,😔,수심 어린 얼굴,A
52,😪,졸린 얼굴,A
53,🤤,침 흘리는 얼굴,A
54,😴,졸고 있는 얼굴,A
55,😷,마스크 낀 얼굴,A
56,🤒,체온계를 물고 있는 얼굴,A
57,🤕,머리에 붕대를 감은 얼굴,A
58,🤢,구역질을 하는 얼굴,A
59,🤮,토하는 얼굴,A
