iconId,font,name,category
1,😀,재밌다,A
2,😃,재밌다,A
3,😄,재밌다,A
4,😁,재밌다,A
5,😆,재밌다,A
6,😅,민망하다,A
7,🤣,재밌다,A
8,😂,민망하다,A
9,🙂,재밌다,A
10,🫠,피곤하다,A
11,😊,재밌다,A
12,🥰,사랑하다,A
13,😍,사랑하다,A
14,🤩,사랑하다,A
15,😘,사랑하다,A
16,😚,사랑하다,A
17,🥲,아쉽다,A
18,😋,재밌다,A
19,😝,놀라다,A
20,🫢,놀라다,A
21,🫣,민망하다,A
22,🤨,실망하다,A
23,😐,실망하다,A
24,😑,실망하다,A
25,😒,피곤하다,A
26,🙄,민망하다,A
27,😬,화나다,A
28,😮‍💨,실망하다,A
29,😔,긴장하다,A
30,😪,피곤하다,A
31,😴,피곤하다,A
32,😷,아프다,A
33,🤒,아프다,A
34,🤕,아프다,A
35,🤧,아프다,A
36,🥵,아프다,A
37,🥶,긴장하다,A
38,😵,아프다,A
39,😵‍💫,긴장하다,A
40,🤯,화나다,A
41,🥳,재밌다,A
42,😕,슬프다,A
43,🫤,실망하다,A
44,😟,긴장하다,A
45,🙁,실망하다,A
46,😮,놀라다,A
47,😲,놀라다,A
48,😳,긴장하다,A
49,🥺,아쉽다,A
50,🥹,아쉽다,A
51,😦,실망하다,A
52,😧,실망하다,A
53,😨,긴장하다,A
54,😰,긴장하다,A
55,😥,아쉽다,A
56,😢,슬프다,A
57,😭,슬프다,A
58,😱,긴장하다,A
59,😖,긴장하다,A
60,😣,슬프다,A
61,😞,실망하다,A
62,😓,아쉽다,A
63,😩,피곤하다,A
64,😫,피곤하다,A
65,🥱,피곤하다,A
66,😤,화나다,A
67,😡,화나다,A
68,😠,화나다,A
69,💝,사랑하다,A
70,💗,사랑하다,A
71,💢,화나다,A
72,💦,피곤하다,A
73,💤,피곤하다,A
74,🐒,원숭이,D
75,🦍,고릴라,D
76,🦧,오랑우탄,D
77,🐕,개,D
78,🐺,늑대,D
79,🦊,여우,D
80,🦝,너구리,D
81,🐱,고양이,D
82,🦁,사자,D
83,🐯,호랑이,D
84,🐆,표범,D
85,🐴,말,D
86,🦄,유니콘,D
87,🦓,얼룩말,D
88,🦌,사슴,D
89,🐮,소,D
90,🐷,돼지,D
91,🐗,멧돼지,D
92,🐑,양,D
93,🐐,염소,D
94,🐪,낙타,D
95,🦙,라마,D
96,🦒,기린,D
97,🐘,코끼리,D
98,🦣,매머드,D
99,🦏,코뿔소,D
100,🦛,하마,D
101,🐭,쥐,D
102,🐹,햄스터,D
103,🐰,토끼,D
104,🐿,얼룩다람쥐,D
105,🦫,비버,D
106,🦔,고슴도치,D
107,🦇,박쥐,D
108,🐻,곰,D
109,🐻‍❄️,북극곰,D
110,🐨,코알라,D
111,🐼,판다,D
112,🦥,나무늘보,D
113,🦦,수달,D
114,🦘,캥거루,D
115,🦡,오소리,D
116,🐾,곰발바닥,D
117,🦃,칠면조,D
118,🐔,닭,D
119,🐤,병아리,D
120,🐦,새,D
121,🐧,펭귄,D
122,🕊,비둘기,D
123,🦅,독수리,D
124,🦆,오리,D
125,🦢,백조,D
126,🦉,부엉이,D
127,🦤,도도새,D
128,🪶,깃털,D
129,🦩,홍학,D
130,🦚,공작,D
131,🦜,앵무새,D
132,🐸,개구리,D
133,🐊,악어,D
134,🐢,거북이,D
135,🦎,도마뱀,D
136,🐍,뱀,D
137,🐲,용,D
138,🦖,공룡,D
139,🐋,고래,D
140,🐬,돌고래,D
141,🦭,물개,D
142,🐟,물고기,D
143,🐠,열대어,D
144,🐡,복어,D
145,🦈,상어,D
