key,sentence
1,오늘 엄마랑 같이 놀이공원에 갔다. 올해 중에 가장 잊지 못할 하루였다.
1,오늘 친구들과 놀이터에서 놀아서 정말 재밌었다.
1,"오늘 친구들과 놀이터에서 오랜만에 숨바꼭질을 했는데, 정말 오랜만이라 그런지 너무 재밌었다. 뛰어다니면서 시간 가는 줄 몰랐다."
1,놀이공원에서 롤러코스터를 타면서 바람을 가르며 달릴 때마다 가슴이 두근거리고 정말 신났다. 친구들과 함께 웃으며 즐길 수 있어서 더욱 특별한 하루였다.
1,"가족들과 함께 공원에서 소풍을 하며 도시락을 나눠 먹고, 배드민턴을 치면서 한바탕 웃었더니 하루가 정말 즐거웠다. 이런 시간이 자주 있었으면 좋겠다."
1,오늘 학교에서 상을 받아서 정말 기뻤다. 그동안 열심히 노력한 보람이 있는 것 같아 내 자신이 대견하게 느껴졌다.
1,따뜻한 햇살 아래서 강아지와 산책을 하니 정말 행복했다. 강아지가 나를 보며 꼬리를 흔드는 모습에 마음이 포근해졌다.
1,친구가 나에게 준 작은 손편지가 너무 소중했다. 손으로 쓴 글씨와 정성 가득한 마음이 느껴져서 마음이 따뜻해졌다.
1,선생님께서 내가 도와드린 일을 칭찬해 주셔서 정말 고마웠다. 나도 모르게 미소가 지어질 정도로 마음이 뿌듯했다.
1,"오늘 학교에서 체육 대회 연습을 했는데, 계속 달리기를 하다 보니 조금 힘들었다. 그래도 끝나고 나니 뿌듯했고 반드시 좋은 성적을 내고 싶다."
1,"오늘 친구들과 대회에서 1등을 못했지만, 다음 번에는 반드시 1등을 할 수 있도록 열심히 연습하겠다고 마음속으로 결심했다."
1,매일매일 숙제를 잘하고 싶어서 오늘부터는 숙제를 미루지 않고 제시간에 다 끝내기로 마음을 먹었다.
1,오늘 읽은 책에서 주인공이 어려움을 극복하는 모습을 보고 나도 나만의 목표를 이루기 위해 열심히 하겠다고 다짐했다.
1,"오늘 발표 수업을 위해 열심히 준비했는데, 친구들이 내 발표를 듣고 박수를 쳐줘서 너무 뿌듯했다. 노력한 만큼 좋은 결과가 나와서 기분이 좋았다."
1,동생이 학교에서 상을 받아 집에 와서 자랑하는 모습을 보니 정말 자랑스러웠다. 동생이 자랑스럽게 느껴지는 순간이었다.
1,공연장에서 오랜만에 들은 라이브 음악이 너무 아름다워서 눈물이 날 정도로 감격했다. 그 순간의 감동이 오래도록 남아 있을 것 같다.
1,시험 준비를 열심히 해서 그런지 이번 시험 결과에 정말 만족했다. 앞으로도 열심히 공부하자는 다짐을 했다.
1,부모님께서 내가 만든 생일 카드를 보시고 흐뭇해하셨다. 부모님의 미소를 보니 나도 덩달아 기분이 좋았다.
1,친구와 함께 농담을 주고받으며 깔깔거리며 웃었다. 배가 아플 정도로 웃는 순간들이 정말 즐거웠다.
1,오늘 저녁으로 먹은 엄마의 특별 요리가 정말 맛있었다. 한 입 먹자마자 행복이 입안 가득 퍼지는 느낌이었다.
1,"친구와 작은 오해가 있었는데, 서로 솔직하게 대화하고 나니 마음이 안심되었다. 이제 더 이상 걱정할 필요가 없다는 생각이 들었다."
1,오늘 있었던 작은 실수는 시간이 지나니 별일이 아닌 것 같아 괜찮았다. 이 정도는 누구나 겪을 수 있는 일이라는 생각이 들었다.
1,조금 걱정했지만 결국엔 다 괜찮았다.
1,어려운 문제를 스스로 해결해서 자신감이 생겼다.
1,바람이 시원하게 불어와서 마음이 상쾌했다.
1,오랜만에 가족들과 함께 시간을 보내서 따뜻했다.
1,친구가 나를 위해 선물을 준비해 줘서 정말 감사했다.
2,"부모님이 매일 아침 따뜻한 차를 준비해 주시는 모습을 보면, 가족들이 정말 나를 사랑해 준다는 생각이 들어 마음이 따뜻해진다."
2,친구들과 함께 만든 프로젝트가 성공적으로 마무리돼서 정말 좋았다. 이렇게 협력할 수 있는 친구들이 있어 기뻤다.
2,이번 주말에 가족 여행을 갈 예정이라서 정말 기대된다. 오랜만에 자연 속에서 신나게 놀 생각을 하니 벌써부터 설레는 기분이다.
2,첫눈이 내린다는 소식을 듣고 내일 아침이 설레었다. 하얀 눈이 소복이 쌓인 거리를 걸을 생각에 마음이 두근거린다.
2,"새로운 학급 친구가 환하게 웃으며 인사할 때, 그 상냥한 모습에 순간 반하고 말았다. 앞으로 더 친해지고 싶은 마음이 들었다."
2,오늘 날씨가 맑아서 정말 좋았다.
2,공원에서 산책을 하다가 하얀 강아지를 만났는데 엄청 귀여웠다.
2,내일 소풍이 있어서 너무 기대된다.
2,"공연장에서 멋진 연주를 들었을 때, 음악의 아름다움에 완전히 매료되었다. 다시 그 순간으로 돌아가고 싶은 기분이다."
2,이번 방학에 할 계획들을 생각하니 마음이 들떴다. 시간이 빨리 흘러가서 곧 시작했으면 좋겠다.
2,새로 시작하는 취미 활동이 흥미진진하다. 앞으로 배워갈 새로운 것들이 기대돼서 하루하루가 즐겁다.
2,내가 아끼는 친구들은 서로를 진심으로 사랑하며 이해해 주는 사이이다.
2,오늘은 어버이날이라서 부모님께 카네이션을 드리며 사랑한다고 말했다.
2,오랜만에 만난 친구와 함께 시간을 보내니 정말 즐거웠다. 서로의 이야기를 나누며 웃을 수 있어 기분이 좋았다.
3,"친구가 내가 몰래 준비한 깜짝 선물을 알아차린 것 같아서 순간 당황했지만, 결국엔 서로 웃으며 기분 좋게 넘어가서 다행이다."
3,"길을 걷다가 갑자기 하늘에서 눈이 내리기 시작해서 모두가 깜짝 놀랐는데, 그 순간의 신비로움이 아직도 생생하게 느껴진다."
3,"평소 조용하던 친구가 오늘 학교에서 발표를 너무 잘해서 모두가 놀라워했는데, 그 모습이 정말 대단하다고 생각했다."
