word,sentence,label
말,오늘 친구와 재미있는 말을 주고받았다.,0
말,선생님이 하신 말씀이 기억에 남았다.,0
말,사파리에서 얼룩말들이 풀밭에서 함께 걷는 모습을 볼 수 있었다.,0
말,멕시코 식당에서 타말레를 주문하여 고소하고 맛있는 식사를 즐겼다.,0
말,겨울철에는 따뜻한 양말을 신고 발을 따뜻하게 유지했다.,0
말,나는 동생에게 좋은 말을 해주려고 노력했다.,0
말,책에서 새로운 말을 배웠다.,0
말,말 한마디로 친구를 웃게 만들었다.,0
말,엄마가 따뜻한 말을 해주셔서 기분이 좋아졌다.,0
말,오늘 배운 영어 말은 조금 어려웠다.,0
말,친구가 슬퍼 보여서 위로의 말을 건넸다.,0
말,동물원에서 말을 처음으로 봤다.,1
말,말하는 방식이 사람에게 큰 영향을 줄 수 있다.,0
말,오늘 친구랑 동물원에 가서 말 구경을 했다.,1
말,말이 달리는 모습을 보니 정말 멋있었다.,1
말,할아버지께서 어렸을 때 말을 타고 다니셨다고 말씀하셨다.,1
말,농장에 가서 실제로 말을 타보는 체험을 했다.,1
말,말은 정말 큰 동물이라서 처음엔 조금 무서웠다.,1
말,마트에서 말 모양의 인형을 샀다.,1
말,친구가 말 그림을 정말 잘 그렸다.,1
말,나는 말이 초원을 뛰어다니는 모습을 좋아한다.,1
말,말에게 당근을 주니 아주 잘 먹었다.,1
말,나쁜 말버릇을 고치기 위해 노력하고 있다.,0
말,이 쿠션은 말랑말랑해서 매우 편안하다.,0
말,설명이 논리적으로 말이 안 된다.,0
말,처음으로 말레이시아에 갔는데 엄청 더웠다.,0
말,비가 많이 와서 빨래가 잘 말리질 않았다.,0
말,말의 갈기를 손으로 만져보니 부드러웠다.,1
개,비가 그친 후 하늘에 아름다운 무지개가 떠서 모두가 감탄했다.,0
개,오늘 새로운 친구를 두 명 소개받았다.,0
개,내일은 개교기념일이라 학교에 안 간다.,0
개,아침 일찍 산 정상에 오르니 짙은 안개가 온 산을 덮고 있었다.,0
개,이번 주말에 개봉하는 영화를 보러 갈 거다.,0
개,개미가 줄지어 가는 걸 봤다.,0
개,오늘은 날씨가 맑아서 기분이 개운해졌다.,0
개,새로운 취미로 개구리를 키우기로 했다.,0
개,오늘 개를 산책시키러 나갔다.,1
개,해변에서 물개가 물속에서 유영하는 모습을 보며 즐거운 시간을 보냈다.,0
개,여름날 정원에서 개미들이 열심히 음식을 나르는 모습이 관찰되었다.,0
개,폭풍우가 치면서 하늘에 번개가 번쩍이며 큰 소리를 냈다.,0
개,개가 나를 보고 꼬리를 흔들었다.,1
개,학교 끝나고 개랑 놀아줬다.,1
개,개가 내 말을 잘 들어서 기특했다.,1
개,친구네 집 개가 정말 컸다.,1
개,개가 새끼를 낳아서 너무 신기했다.,1
개,산책 중에 다른 개를 만났다.,1
개,개가 잔디밭에서 뛰어노는 걸 봤다.,1
개,내가 준 간식을 개가 맛있게 먹었다.,1
개,새로 생긴 카페가 개업 기념으로 할인 행사를 했다.,0
개,개성 있는 디자인이 눈에 띄는 가방을 샀다.,0
개,숙제의 개요를 먼저 정리해두었다.,0
개,교실에 새로 개설된 동아리 활동이 많다.,0
개,개운한 아침을 맞이하기 위해 운동을 한다.,0
개,이번 프로젝트는 개방적 아이디어가 필요하다.,0
개,개구리가 연못에서 뛰어노는 모습이 귀엽다.,0
개,책에서 개념을 잘 이해하기 위해 반복해서 읽었다.,0
개,새로 개설된 도서관에 갔는데 엄청 시원했다.,0
소,오늘은 소풍을 가서 맛있는 음식을 먹었다.,0
소,학교에서 소설을 읽는 시간이 참 재미있다.,0
소,할아버지께서 소를 키우시고 계신다.,1
소,소중한 물건을 잃어버려서 많이 걱정되었다.,0
소,나는 그림을 그릴 때 소중한 순간들을 표현하고 싶다.,0
소,농장에서 소리가 정말 시끄럽다.,0
소,농장에서 염소들이 풀을 뜯으며 여유롭게 지내고 있었다.,0
소,숲 속에서 오소리가 굴을 파고 있는 모습을 우연히 발견했다.,0
소,화재가 발생하자 소방차가 빠르게 출동해 불을 껐다.,0
소,친구들과 소프트볼 경기를 하며 운동장에서 신나게 뛰어놀았다.,0
소,음악회에서 색소폰 연주가 아름다운 선율을 자아냈다.,0
소,저녁 식사로 신선한 채소를 이용한 샐러드를 준비했다.,0
소,요리에 소금을 적당히 넣어 맛을 조절했다.,0
소,여행 중 차가 기름이 부족해 주유소에서 기름을 넣었다.,0
소,산책 중에 소나무 숲을 지나며 상쾌한 향기를 맡았다.,0
